PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_NUMERIC
Nikola Jokic,By Year,2023-24,1610612743.0,DEN,2024-04-14T00:00:00,79.0,55.0,24.0,0.696,34.6,10.4,17.9,0.583,1.1,2.9,0.359,4.5,5.5,0.817,2.8,9.5,12.4,9.0,3.0,1.4,0.9,0.9,2.5,5.4,26.4,8.6,58.3,68.0,25.0,53.2,3.0,1.0,8.0,1.0,2.0,2.0,3.0,3.0,6.0,7.0,5.0,5.0,4.0,6.0,5.0,3.0,3.0,3.0,7.0,3.0,1.0,4.0,9.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,2024
Nikola Jokic,By Year,2022-23,1610612743.0,DEN,2023-04-08T00:00:00,69.0,48.0,21.0,0.696,33.7,9.4,14.8,0.632,0.8,2.2,0.383,4.9,6.0,0.822,2.4,9.4,11.8,9.8,3.6,1.3,0.7,0.7,2.5,5.7,24.5,9.3,55.7,58.0,29.0,50.9,10.0,3.0,10.0,2.0,4.0,5.0,6.0,1.0,8.0,8.0,4.0,3.0,3.0,4.0,8.0,4.0,4.0,2.0,2.0,6.0,6.0,7.0,8.0,4.0,5.0,1.0,4.0,5.0,2.0,4.0,2023
Nikola Jokic,By Year,2021-22,1610612743.0,DEN,2022-04-07T00:00:00,74.0,46.0,28.0,0.622,33.5,10.3,17.7,0.583,1.3,3.9,0.337,5.1,6.3,0.81,2.8,11.0,13.8,7.9,3.8,1.5,0.9,0.9,2.6,6.5,27.1,6.0,58.6,66.0,19.0,54.7,5.0,5.0,4.0,7.0,5.0,3.0,4.0,2.0,3.0,2.0,6.0,2.0,2.0,9.0,6.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,7.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2022
Nikola Jokic,By Year,2020-21,1610612743.0,DEN,2021-05-16T00:00:00,72.0,47.0,25.0,0.653,34.6,10.2,18.0,0.566,1.3,3.3,0.388,4.8,5.5,0.868,2.8,8.0,10.8,8.3,3.1,1.3,0.7,0.9,2.7,5.8,26.4,5.3,54.7,60.0,16.0,50.8,8.0,4.0,7.0,5.0,3.0,4.0,2.0,6.0,4.0,6.0,3.0,4.0,5.0,1.0,4.0,6.0,5.0,4.0,6.0,5.0,7.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,2021
Nikola Jokic,By Year,2019-20,1610612743.0,DEN,2020-08-14T00:00:00,73.0,46.0,27.0,0.63,32.0,7.7,14.7,0.528,1.1,3.5,0.314,3.4,4.1,0.817,2.3,7.5,9.7,7.0,3.1,1.2,0.6,0.4,3.0,5.0,19.9,3.5,44.4,43.0,13.0,41.3,6.0,5.0,5.0,6.0,7.0,6.0,7.0,7.0,5.0,4.0,9.0,8.0,8.0,7.0,9.0,8.0,9.0,7.0,5.0,8.0,10.0,10.0,1.0,8.0,7.0,9.0,7.0,7.0,6.0,7.0,2020
Nikola Jokic,,2024-25,,,,,54.1,22.0,,,,,,,,,,,,,,13.62,10.05,,,,,,,28.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
