PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_NUMERIC
Kyrie Irving,By Year,2023-24,1610612742.0,DAL,2024-04-10T00:00:00,58.0,39.0,19.0,0.672,35.0,9.7,19.5,0.497,3.0,7.3,0.411,3.3,3.6,0.905,0.8,4.2,5.0,5.2,1.8,1.3,0.5,0.7,1.9,3.1,25.6,4.8,42.8,5.0,0.0,42.3,7.0,4.0,8.0,4.0,8.0,6.0,6.0,3.0,3.0,4.0,3.0,13.0,14.0,7.0,9.0,1.0,3.0,12.0,15.0,9.0,7.0,14.0,15.0,13.0,6.0,4.0,7.0,6.0,4.0,7.0,2024
Kyrie Irving,By Year,2022-23,-1.0,TOT,2023-04-05T00:00:00,60.0,32.0,28.0,0.533,37.3,9.9,20.1,0.494,3.1,8.3,0.379,4.1,4.6,0.905,1.0,4.1,5.1,5.5,2.1,1.1,0.8,0.9,2.8,3.6,27.1,3.7,44.8,5.0,0.0,44.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2023
Kyrie Irving,By Year,2022-23,1610612742.0,DAL,2023-04-05T00:00:00,20.0,8.0,12.0,0.4,38.1,9.8,19.2,0.51,2.9,7.4,0.392,4.5,4.7,0.947,1.1,4.0,5.0,6.0,1.9,1.3,0.6,1.0,2.8,3.7,27.0,4.8,45.7,2.0,0.0,44.6,14.0,14.0,14.0,11.0,1.0,5.0,7.0,1.0,4.0,3.0,11.0,2.0,5.0,1.0,4.0,4.0,3.0,4.0,14.0,10.0,3.0,6.0,1.0,5.0,4.0,3.0,2.0,10.0,4.0,4.0,2023
Kyrie Irving,By Year,2022-23,1610612751.0,BKN,2023-02-01T00:00:00,40.0,24.0,16.0,0.6,36.9,10.0,20.5,0.486,3.3,8.7,0.374,4.0,4.5,0.883,1.0,4.2,5.1,5.3,2.3,1.0,0.8,0.9,2.7,3.6,27.1,3.2,44.4,3.0,0.0,44.4,12.0,10.0,11.0,7.0,3.0,3.0,3.0,6.0,2.0,1.0,13.0,8.0,7.0,10.0,6.0,2.0,2.0,10.0,12.0,15.0,1.0,7.0,3.0,8.0,3.0,10.0,5.0,8.0,4.0,5.0,2023
Kyrie Irving,By Year,2021-22,1610612751.0,BKN,2022-04-10T00:00:00,29.0,14.0,15.0,0.483,37.6,10.0,21.2,0.469,3.4,8.2,0.418,4.1,4.4,0.915,0.6,3.8,4.4,5.8,2.5,1.4,0.6,0.9,2.8,3.8,27.4,4.2,44.8,2.0,0.0,45.0,13.0,13.0,13.0,10.0,2.0,2.0,1.0,10.0,1.0,2.0,1.0,7.0,8.0,5.0,14.0,6.0,8.0,8.0,6.0,5.0,4.0,8.0,2.0,3.0,1.0,8.0,4.0,10.0,4.0,2.0,2022
Kyrie Irving,By Year,2020-21,1610612751.0,BKN,2021-05-16T00:00:00,54.0,36.0,18.0,0.667,34.9,10.2,20.1,0.506,2.8,7.0,0.402,3.7,4.0,0.922,1.0,3.8,4.8,6.0,2.4,1.4,0.7,1.0,2.6,3.4,26.9,4.2,45.5,8.0,0.0,44.6,8.0,7.0,10.0,5.0,9.0,1.0,4.0,2.0,6.0,7.0,5.0,11.0,11.0,2.0,5.0,7.0,7.0,4.0,9.0,6.0,2.0,5.0,5.0,9.0,5.0,7.0,3.0,2.0,4.0,3.0,2021
Kyrie Irving,By Year,2019-20,1610612751.0,BKN,2020-02-01T00:00:00,20.0,8.0,12.0,0.4,32.9,10.0,20.8,0.478,2.8,7.1,0.394,4.7,5.1,0.922,1.1,4.1,5.2,6.4,2.6,1.4,0.5,0.8,2.7,4.8,27.4,-0.4,46.1,3.0,1.0,45.5,14.0,14.0,14.0,11.0,12.0,3.0,2.0,7.0,7.0,6.0,10.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,4.0,7.0,6.0,11.0,4.0,1.0,2.0,12.0,1.0,8.0,1.0,1.0,2020
Kyrie Irving,,2024-25,,,,,33.45,21.35,,,,,,,,,,,,,,4.97,5.01,,,,,,,26.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
