PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_NUMERIC
Anthony Davis,By Year,2023-24,1610612747.0,LAL,2024-04-14T00:00:00,76.0,45.0,31.0,0.592,35.5,9.4,16.9,0.556,0.4,1.4,0.271,5.5,6.8,0.816,3.1,9.5,12.6,3.5,2.1,1.2,2.3,1.1,2.3,5.4,24.7,2.0,53.6,64.0,2.0,48.3,1.0,2.0,5.0,5.0,4.0,7.0,12.0,2.0,9.0,10.0,7.0,7.0,8.0,3.0,2.0,1.0,1.0,3.0,7.0,11.0,5.0,1.0,8.0,9.0,7.0,7.0,3.0,1.0,1.0,5.0,2024
Anthony Davis,By Year,2022-23,1610612747.0,LAL,2023-04-09T00:00:00,56.0,31.0,25.0,0.554,34.0,9.7,17.2,0.563,0.3,1.3,0.257,6.2,7.9,0.784,3.5,9.1,12.5,2.6,2.2,1.1,2.0,1.0,2.6,5.9,25.9,3.7,52.0,40.0,0.0,47.6,9.0,5.0,9.0,8.0,10.0,3.0,9.0,1.0,10.0,11.0,9.0,4.0,4.0,9.0,1.0,3.0,2.0,8.0,5.0,13.0,12.0,2.0,2.0,6.0,5.0,4.0,6.0,5.0,4.0,6.0,2023
Anthony Davis,By Year,2021-22,1610612747.0,LAL,2022-04-05T00:00:00,40.0,17.0,23.0,0.425,35.1,9.3,17.4,0.532,0.3,1.8,0.186,4.4,6.1,0.713,2.7,7.2,9.9,3.1,2.1,1.2,2.3,0.5,2.4,5.1,23.2,-2.3,47.9,19.0,0.0,43.4,12.0,13.0,10.0,11.0,7.0,8.0,8.0,5.0,11.0,9.0,12.0,12.0,11.0,13.0,6.0,10.0,11.0,7.0,9.0,10.0,7.0,14.0,6.0,11.0,10.0,12.0,9.0,12.0,4.0,10.0,2022
Anthony Davis,By Year,2020-21,1610612747.0,LAL,2021-05-16T00:00:00,36.0,23.0,13.0,0.639,32.3,8.4,17.0,0.491,0.7,2.8,0.26,4.4,5.9,0.738,1.7,6.2,7.9,3.1,2.1,1.3,1.6,0.7,1.7,4.9,21.8,3.2,42.6,12.0,0.0,39.3,13.0,11.0,13.0,3.0,12.0,11.0,10.0,13.0,5.0,3.0,8.0,11.0,12.0,12.0,13.0,13.0,14.0,6.0,8.0,9.0,14.0,10.0,14.0,12.0,11.0,5.0,13.0,13.0,4.0,13.0,2021
Anthony Davis,By Year,2019-20,1610612747.0,LAL,2020-08-10T00:00:00,62.0,46.0,16.0,0.742,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.2,8.5,0.846,2.3,7.0,9.3,3.2,2.5,1.5,2.3,0.7,2.5,6.5,26.1,3.9,50.9,29.0,0.0,47.3,7.0,1.0,12.0,1.0,8.0,10.0,6.0,11.0,1.0,1.0,3.0,1.0,2.0,1.0,11.0,11.0,12.0,5.0,1.0,4.0,6.0,11.0,3.0,4.0,3.0,3.0,8.0,10.0,4.0,7.0,2020
Anthony Davis,,2024-25,,,,,34.2,34.2,,,,,,,,,,,,,,13.8,3.13,,,,,,,24.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
