PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_NUMERIC
Draymond Green,By Year,2023-24,1610612744.0,GSW,2024-04-12T00:00:00,55.0,33.0,22.0,0.6,27.1,3.4,6.8,0.497,0.9,2.3,0.395,1.0,1.3,0.73,1.4,5.9,7.2,6.0,2.5,1.0,0.9,0.3,3.0,2.2,8.6,3.1,29.5,10.0,1.0,26.5,11.0,12.0,7.0,9.0,11.0,6.0,7.0,3.0,6.0,8.0,1.0,11.0,12.0,5.0,3.0,9.0,7.0,9.0,8.0,12.0,9.0,5.0,5.0,6.0,6.0,10.0,10.0,7.0,6.0,10.0,2024
Draymond Green,By Year,2022-23,1610612744.0,GSW,2023-04-09T00:00:00,73.0,41.0,32.0,0.562,31.5,3.4,6.5,0.527,0.5,1.8,0.305,1.1,1.5,0.713,0.9,6.3,7.2,6.8,2.8,1.0,0.8,0.3,3.1,2.0,8.5,4.7,30.1,11.0,0.0,26.7,6.0,9.0,3.0,11.0,5.0,5.0,8.0,1.0,10.0,11.0,7.0,9.0,9.0,6.0,10.0,7.0,8.0,7.0,5.0,11.0,10.0,10.0,3.0,7.0,7.0,5.0,8.0,6.0,10.0,9.0,2023
Draymond Green,By Year,2021-22,1610612744.0,GSW,2022-04-10T00:00:00,46.0,34.0,12.0,0.739,28.9,2.9,5.6,0.525,0.3,1.2,0.296,1.3,2.0,0.659,1.0,6.3,7.3,7.0,3.0,1.3,1.1,0.3,3.0,2.0,7.5,4.2,30.9,4.0,1.0,27.0,12.0,11.0,12.0,4.0,9.0,8.0,12.0,2.0,12.0,12.0,9.0,7.0,6.0,13.0,8.0,6.0,5.0,5.0,2.0,9.0,5.0,6.0,8.0,8.0,9.0,7.0,7.0,11.0,6.0,7.0,2022
Draymond Green,By Year,2020-21,1610612744.0,GSW,2021-05-16T00:00:00,63.0,35.0,28.0,0.556,31.5,2.7,6.0,0.447,0.5,2.0,0.27,1.1,1.4,0.795,0.9,6.2,7.1,8.9,3.0,1.7,0.8,0.2,3.1,1.9,7.0,3.8,33.4,17.0,6.0,28.5,10.0,10.0,5.0,12.0,6.0,11.0,10.0,6.0,11.0,10.0,12.0,8.0,10.0,2.0,11.0,8.0,9.0,1.0,3.0,2.0,11.0,12.0,4.0,11.0,11.0,9.0,5.0,4.0,2.0,5.0,2021
Draymond Green,By Year,2019-20,1610612744.0,GSW,2020-02-27T00:00:00,43.0,10.0,33.0,0.233,28.4,2.9,7.3,0.389,0.8,3.0,0.279,1.5,1.9,0.759,0.5,5.7,6.2,6.2,2.3,1.4,0.8,0.3,2.6,1.9,8.0,-4.5,28.9,8.0,2.0,25.5,13.0,13.0,2.0,13.0,10.0,9.0,6.0,12.0,7.0,6.0,11.0,6.0,7.0,4.0,13.0,10.0,10.0,8.0,10.0,7.0,12.0,9.0,12.0,9.0,8.0,13.0,11.0,8.0,5.0,11.0,2020
Draymond Green,,2024-25,,,,,46.2,20.0,,,,,,,,,,,,,,7.63,6.23,,,,,,,8.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
