PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_NUMERIC
Luka Doncic,By Year,2023-24,1610612742.0,DAL,2024-04-10T00:00:00,70.0,46.0,24.0,0.657,37.5,11.5,23.6,0.487,4.1,10.6,0.382,6.8,8.7,0.786,0.8,8.4,9.2,9.8,4.0,1.4,0.5,0.7,2.1,6.8,33.9,4.6,61.5,49.0,21.0,60.9,2.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,5.0,1.0,2.0,1.0,4.0,3.0,3.0,4.0,7.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2024
Luka Doncic,By Year,2022-23,1610612742.0,DAL,2023-04-07T00:00:00,66.0,33.0,33.0,0.5,36.2,10.9,22.0,0.496,2.8,8.2,0.342,7.8,10.5,0.742,0.8,7.8,8.6,8.0,3.6,1.4,0.5,0.7,2.5,7.3,32.4,1.9,56.8,36.0,10.0,55.6,3.0,5.0,2.0,7.0,2.0,2.0,2.0,1.0,7.0,7.0,6.0,1.0,1.0,6.0,6.0,4.0,4.0,5.0,6.0,4.0,4.0,7.0,2.0,2.0,2.0,7.0,2.0,4.0,4.0,2.0,2023
Luka Doncic,By Year,2021-22,1610612742.0,DAL,2022-04-10T00:00:00,65.0,44.0,21.0,0.677,35.4,9.9,21.6,0.457,3.1,8.8,0.353,5.6,7.5,0.744,0.9,8.3,9.1,8.7,4.5,1.2,0.6,0.7,2.2,6.2,28.4,2.2,53.1,44.0,10.0,52.8,5.0,2.0,6.0,1.0,4.0,3.0,3.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,1.0,5.0,1.0,6.0,6.0,4.0,4.0,6.0,4.0,2.0,4.0,3.0,2022
Luka Doncic,By Year,2020-21,1610612742.0,DAL,2021-05-16T00:00:00,66.0,40.0,26.0,0.606,34.3,9.8,20.5,0.479,2.9,8.3,0.35,5.2,7.1,0.73,0.8,7.2,8.0,8.6,4.3,1.0,0.5,0.8,2.3,5.5,27.7,2.5,50.5,26.0,11.0,50.2,3.0,3.0,3.0,4.0,6.0,5.0,6.0,3.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,4.0,3.0,8.0,2.0,2.0,5.0,8.0,7.0,5.0,7.0,5.0,3.0,7.0,2021
Luka Doncic,By Year,2019-20,1610612742.0,DAL,2020-08-13T00:00:00,61.0,36.0,25.0,0.59,33.6,9.5,20.6,0.463,2.8,8.9,0.316,7.0,9.2,0.758,1.3,8.1,9.4,8.8,4.3,1.0,0.2,1.1,2.5,7.5,28.8,4.1,52.8,39.0,17.0,52.3,6.0,4.0,4.0,6.0,7.0,6.0,5.0,5.0,6.0,4.0,8.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,7.0,8.0,1.0,3.0,1.0,3.0,4.0,5.0,3.0,2.0,5.0,2020
Luka Doncic,,2024-25,,,,,43.7,27.3,,,,,0.5,,,0.39,,,,,,8.92,9.2,3.75,1.56,0.64,,,,34.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
