PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_NUMERIC
Lamelo Ball,By Year,2023-24,1610612766.0,CHA,2024-01-26T00:00:00,22.0,7.0,15.0,0.318,32.3,8.3,19.2,0.433,3.2,9.0,0.355,4.1,4.7,0.865,1.3,3.8,5.1,8.0,3.8,1.8,0.2,0.6,3.6,4.1,23.9,-6.3,44.3,7.0,1.0,44.2,5.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,2.0,5.0,2.0,4.0,3.0,2.0,2024
Lamelo Ball,By Year,2022-23,1610612766.0,CHA,2023-02-27T00:00:00,36.0,13.0,23.0,0.361,35.2,8.2,20.0,0.411,4.0,10.6,0.376,2.8,3.4,0.843,1.2,5.3,6.4,8.4,3.6,1.3,0.3,0.8,3.3,3.1,23.3,-4.2,44.8,17.0,3.0,45.3,4.0,4.0,4.0,3.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,1.0,2.0,2.0,1.0,2023
Lamelo Ball,By Year,2021-22,1610612766.0,CHA,2022-04-10T00:00:00,75.0,39.0,36.0,0.52,32.3,7.2,16.7,0.429,2.9,7.5,0.389,2.8,3.2,0.872,1.4,5.2,6.7,7.6,3.3,1.6,0.4,0.7,3.2,3.2,20.1,1.3,42.2,23.0,5.0,41.3,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,1.0,4.0,1.0,1.0,4.0,2022
Lamelo Ball,By Year,2020-21,1610612766.0,CHA,2021-05-16T00:00:00,51.0,23.0,28.0,0.451,28.8,5.7,13.2,0.436,1.8,5.1,0.352,2.5,3.2,0.758,1.2,4.7,5.9,6.1,2.8,1.6,0.4,0.6,2.7,3.1,15.7,-1.6,35.0,7.0,1.0,33.5,2.0,2.0,3.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,2.0,2.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,3.0,5.0,2021
Lamelo Ball,,2024-25,,,,,2.0,12.5,,,,,0.42,,,0.37,,,,,,5.35,9.15,4.2,1.65,0.15,,,,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
