PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_NUMERIC
Trae Young,By Year,2023-24,1610612737.0,ATL,2024-04-14T00:00:00,54.0,22.0,32.0,0.407,36.0,8.0,18.7,0.43,3.2,8.7,0.373,6.4,7.5,0.855,0.4,2.3,2.8,10.8,4.4,1.3,0.2,1.0,2.0,6.4,25.7,-2.1,45.5,37.0,0.0,45.6,7.0,6.0,6.0,5.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,6.0,4.0,6.0,7.0,6.0,7.0,2.0,3.0,1.0,1.0,6.0,1.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,2024
Trae Young,By Year,2022-23,1610612737.0,ATL,2023-04-07T00:00:00,73.0,38.0,35.0,0.521,34.8,8.2,19.0,0.429,2.1,6.3,0.335,7.8,8.8,0.886,0.8,2.2,3.0,10.2,4.1,1.1,0.1,1.2,1.4,6.4,26.2,1.4,44.6,40.0,0.0,43.9,4.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,6.0,6.0,6.0,2.0,2.0,3.0,2.0,7.0,6.0,3.0,5.0,3.0,6.0,4.0,7.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,2023
Trae Young,By Year,2021-22,1610612737.0,ATL,2022-04-10T00:00:00,76.0,40.0,36.0,0.526,34.9,9.4,20.3,0.46,3.1,8.0,0.382,6.6,7.3,0.904,0.7,3.1,3.7,9.7,4.0,0.9,0.1,1.2,1.7,5.9,28.4,2.1,46.5,42.0,0.0,46.9,2.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,3.0,4.0,1.0,4.0,6.0,1.0,3.0,3.0,3.0,4.0,6.0,5.0,7.0,2.0,6.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2022
Trae Young,By Year,2020-21,1610612737.0,ATL,2021-05-16T00:00:00,63.0,36.0,27.0,0.571,33.7,7.7,17.7,0.438,2.2,6.3,0.343,7.7,8.7,0.886,0.6,3.3,3.9,9.4,4.1,0.8,0.2,1.0,1.8,6.8,25.3,4.2,43.1,28.0,0.0,42.8,5.0,3.0,7.0,1.0,6.0,5.0,6.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,5.0,4.0,7.0,2.0,5.0,3.0,2.0,5.0,1.0,6.0,6.0,3.0,6.0,2021
Trae Young,By Year,2019-20,1610612737.0,ATL,2020-03-11T00:00:00,60.0,18.0,42.0,0.3,35.3,9.1,20.8,0.437,3.4,9.5,0.361,8.0,9.3,0.86,0.5,3.7,4.3,9.3,4.8,1.1,0.1,1.3,1.7,7.7,29.6,-3.8,47.6,28.0,2.0,49.1,6.0,7.0,2.0,7.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,6.0,1.0,4.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,2020
Trae Young,,2024-25,,,,,33.8,30.8,,,,,0.43,,,0.36,,,,,,2.37,11.02,4.04,1.25,0.17,,,,24.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
