PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_NUMERIC
Jamal Murray,By Year,2023-24,1610612743.0,DEN,2024-04-14T00:00:00,59.0,44.0,15.0,0.746,31.5,8.0,16.7,0.481,2.5,5.8,0.425,2.7,3.1,0.853,0.7,3.4,4.1,6.5,2.1,1.0,0.7,0.9,1.8,2.7,21.2,5.3,38.6,11.0,0.0,37.5,6.0,3.0,8.0,1.0,7.0,1.0,2.0,1.0,3.0,4.0,1.0,6.0,6.0,6.0,6.0,1.0,2.0,1.0,5.0,6.0,1.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,2024
Jamal Murray,By Year,2022-23,1610612743.0,DEN,2023-04-08T00:00:00,65.0,43.0,22.0,0.662,32.8,7.3,16.0,0.454,2.6,6.6,0.398,2.8,3.3,0.833,0.7,3.2,4.0,6.2,2.2,1.0,0.2,0.5,1.6,2.8,20.0,4.6,35.5,5.0,1.0,35.2,5.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,2.0,1.0,3.0,4.0,2.0,8.0,5.0,6.0,5.0,2.0,2.0,4.0,8.0,6.0,7.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,2023
Jamal Murray,By Year,2020-21,1610612743.0,DEN,2021-04-12T00:00:00,48.0,31.0,17.0,0.646,35.5,7.9,16.5,0.477,2.7,6.6,0.408,2.8,3.2,0.869,0.8,3.3,4.0,4.8,2.3,1.3,0.3,0.5,2.0,3.3,21.2,6.3,35.8,1.0,0.0,36.0,8.0,8.0,7.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,6.0,1.0,2.0,7.0,5.0,3.0,1.0,2.0,1.0,3.0,6.0,2.0,3.0,2021
Jamal Murray,By Year,2019-20,1610612743.0,DEN,2020-08-14T00:00:00,59.0,38.0,21.0,0.644,32.3,6.9,15.2,0.456,1.9,5.5,0.346,2.8,3.1,0.881,0.8,3.2,4.0,4.8,2.2,1.1,0.3,0.5,1.7,3.0,18.5,4.1,32.6,3.0,0.0,32.1,6.0,7.0,6.0,5.0,5.0,5.0,6.0,4.0,7.0,6.0,7.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,6.0,7.0,6.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,2020
Jamal Murray,,2024-25,,,,,46.2,16.65,,,,,0.48,,,0.44,,,,,,4.08,7.02,2.11,0.95,0.58,,,,21.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
