PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_NUMERIC
Kevin Durant,By Year,2023-24,1610612756.0,PHX,2024-04-14T00:00:00,75.0,44.0,31.0,0.587,37.2,10.0,19.1,0.523,2.2,5.4,0.413,4.8,5.6,0.856,0.5,6.1,6.6,5.0,3.3,0.9,1.2,0.7,1.8,4.8,27.1,3.9,45.7,14.0,1.0,45.2,7.0,10.0,4.0,15.0,8.0,4.0,7.0,6.0,8.0,7.0,7.0,18.0,17.0,15.0,11.0,12.0,12.0,7.0,9.0,10.0,8.0,6.0,13.0,12.0,9.0,14.0,11.0,11.0,6.0,11.0,2024
Kevin Durant,By Year,2022-23,-1.0,TOT,2023-04-06T00:00:00,47.0,34.0,13.0,0.723,35.6,10.3,18.3,0.56,2.0,4.9,0.404,6.5,7.1,0.919,0.4,6.3,6.7,5.0,3.3,0.7,1.4,0.5,2.1,5.8,29.1,5.5,47.7,5.0,1.0,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2023
Kevin Durant,By Year,2022-23,1610612756.0,PHX,2023-04-06T00:00:00,8.0,8.0,0.0,1.0,33.7,9.1,16.0,0.57,2.8,5.1,0.537,5.0,6.0,0.833,0.4,6.0,6.4,3.5,2.5,0.3,1.3,0.5,0.9,4.6,26.0,8.6,40.9,0.0,0.0,41.6,18.0,18.0,18.0,1.0,16.0,12.0,18.0,1.0,1.0,11.0,1.0,15.0,14.0,18.0,15.0,13.0,15.0,13.0,17.0,18.0,6.0,15.0,18.0,15.0,13.0,4.0,16.0,18.0,10.0,16.0,2023
Kevin Durant,By Year,2022-23,1610612751.0,BKN,2023-01-08T00:00:00,39.0,26.0,13.0,0.667,36.0,10.5,18.8,0.559,1.8,4.8,0.376,6.8,7.3,0.934,0.4,6.4,6.7,5.3,3.5,0.8,1.5,0.5,2.4,6.0,29.7,4.8,49.1,5.0,1.0,48.1,15.0,13.0,14.0,9.0,10.0,1.0,8.0,2.0,13.0,14.0,13.0,5.0,7.0,1.0,18.0,9.0,11.0,6.0,3.0,13.0,3.0,11.0,1.0,4.0,4.0,13.0,4.0,14.0,6.0,4.0,2023
Kevin Durant,By Year,2021-22,1610612751.0,BKN,2022-04-10T00:00:00,55.0,36.0,19.0,0.655,37.2,10.5,20.3,0.518,2.1,5.5,0.383,6.8,7.4,0.91,0.5,6.9,7.4,6.4,3.5,0.9,0.9,0.7,2.1,5.9,29.9,4.9,50.3,18.0,4.0,49.4,14.0,11.0,11.0,13.0,7.0,2.0,3.0,8.0,9.0,6.0,12.0,6.0,6.0,2.0,12.0,5.0,6.0,1.0,4.0,12.0,14.0,5.0,4.0,5.0,3.0,12.0,2.0,6.0,1.0,2.0,2022
Kevin Durant,By Year,2020-21,1610612751.0,BKN,2021-05-16T00:00:00,35.0,23.0,12.0,0.657,33.1,9.3,17.2,0.537,2.4,5.4,0.45,6.0,6.8,0.882,0.4,6.7,7.1,5.6,3.4,0.7,1.3,0.7,2.0,5.3,26.9,8.0,46.3,12.0,0.0,46.0,16.0,14.0,15.0,12.0,18.0,10.0,15.0,3.0,5.0,8.0,2.0,10.0,10.0,8.0,16.0,6.0,8.0,3.0,7.0,17.0,5.0,4.0,7.0,6.0,10.0,6.0,10.0,13.0,10.0,9.0,2021
Kevin Durant,,2024-25,,,,,36.81,22.25,,,,,0.55,,,0.42,,,,,,6.22,4.11,3.03,0.73,1.37,,,,27.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
