PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_NUMERIC
Stephen Curry,By Year,2023-24,1610612744.0,GSW,2024-04-12T00:00:00,74.0,43.0,31.0,0.581,32.7,8.8,19.5,0.45,4.8,11.8,0.408,4.0,4.4,0.923,0.5,4.0,4.5,5.1,2.8,0.7,0.4,0.7,1.6,3.6,26.4,2.6,40.0,7.0,0.0,43.1,7.0,8.0,4.0,10.0,11.0,5.0,4.0,13.0,5.0,2.0,13.0,8.0,9.0,4.0,15.0,8.0,9.0,16.0,14.0,16.0,3.0,5.0,15.0,8.0,5.0,12.0,12.0,11.0,6.0,10.0,2024
Stephen Curry,By Year,2022-23,1610612744.0,GSW,2023-04-09T00:00:00,56.0,30.0,26.0,0.536,34.7,10.0,20.2,0.493,4.9,11.4,0.427,4.6,5.0,0.915,0.7,5.4,6.1,6.3,3.2,0.9,0.4,0.7,2.1,3.9,29.4,4.8,46.8,12.0,1.0,49.3,13.0,13.0,7.0,12.0,4.0,3.0,2.0,3.0,4.0,5.0,8.0,5.0,5.0,9.0,8.0,1.0,1.0,8.0,6.0,15.0,6.0,3.0,10.0,5.0,3.0,8.0,3.0,5.0,4.0,3.0,2023
Stephen Curry,By Year,2021-22,1610612744.0,GSW,2022-03-16T00:00:00,64.0,45.0,19.0,0.703,34.5,8.4,19.1,0.437,4.5,11.7,0.38,4.3,4.7,0.923,0.5,4.7,5.2,6.3,3.2,1.3,0.4,0.6,2.0,3.5,25.5,8.0,43.1,12.0,2.0,44.8,11.0,6.0,9.0,6.0,5.0,8.0,6.0,15.0,6.0,4.0,15.0,6.0,6.0,5.0,14.0,3.0,5.0,7.0,4.0,11.0,5.0,9.0,12.0,10.0,7.0,6.0,9.0,5.0,2.0,6.0,2022
Stephen Curry,By Year,2020-21,1610612744.0,GSW,2021-05-16T00:00:00,63.0,37.0,26.0,0.587,34.2,10.4,21.7,0.482,5.3,12.7,0.421,5.7,6.3,0.916,0.5,5.0,5.5,5.8,3.4,1.2,0.1,0.9,1.9,4.6,32.0,3.9,47.9,8.0,0.0,51.3,12.0,11.0,7.0,8.0,7.0,1.0,1.0,6.0,1.0,1.0,11.0,1.0,1.0,7.0,16.0,2.0,2.0,13.0,2.0,12.0,16.0,1.0,14.0,1.0,1.0,10.0,2.0,10.0,6.0,2.0,2021
Stephen Curry,By Year,2019-20,1610612744.0,GSW,2020-03-05T00:00:00,5.0,1.0,4.0,0.2,27.9,6.6,16.4,0.402,2.4,9.8,0.245,5.2,5.2,1.0,0.8,4.4,5.2,6.6,3.2,1.0,0.4,0.8,2.2,3.8,20.8,-9.0,37.9,1.0,0.0,37.8,16.0,16.0,16.0,16.0,16.0,14.0,13.0,16.0,13.0,10.0,16.0,3.0,3.0,1.0,2.0,7.0,6.0,6.0,5.0,14.0,2.0,2.0,9.0,6.0,13.0,16.0,13.0,16.0,6.0,13.0,2020
Stephen Curry,,2024-25,,,,,54.3,37.4,,,,,,,,,,,,,,5.06,5.27,,,,,,,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
