PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_NUMERIC
Klay Thompson,By Year,2023-24,1610612744.0,GSW,2024-04-14T00:00:00,77.0,41.0,36.0,0.532,29.7,6.4,14.7,0.432,3.5,9.0,0.387,1.6,1.8,0.927,0.5,2.8,3.3,2.3,1.5,0.6,0.5,0.4,1.6,1.2,17.9,0.1,27.0,0.0,0.0,29.1,6.0,8.0,3.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,11.0,7.0,8.0,1.0,7.0,9.0,9.0,6.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,5.0,1.0,9.0,2024
Klay Thompson,By Year,2022-23,1610612744.0,GSW,2023-04-09T00:00:00,69.0,38.0,31.0,0.551,33.0,7.9,18.1,0.436,4.4,10.6,0.412,1.7,1.9,0.879,0.6,3.6,4.1,2.4,1.8,0.7,0.4,0.5,1.9,1.3,21.9,2.4,32.0,2.0,0.0,35.0,10.0,9.0,5.0,8.0,7.0,4.0,1.0,8.0,1.0,1.0,7.0,5.0,7.0,5.0,3.0,1.0,1.0,5.0,3.0,9.0,10.0,7.0,6.0,8.0,3.0,7.0,5.0,1.0,1.0,1.0,2023
Klay Thompson,By Year,2021-22,1610612744.0,GSW,2022-04-10T00:00:00,32.0,17.0,15.0,0.531,29.4,7.7,17.9,0.429,3.6,9.3,0.385,1.4,1.6,0.902,0.5,3.4,3.9,2.8,1.3,0.5,0.5,0.4,1.7,1.3,20.4,2.1,30.9,0.0,0.0,32.7,12.0,12.0,9.0,10.0,10.0,7.0,3.0,10.0,2.0,2.0,12.0,9.0,9.0,3.0,6.0,2.0,2.0,2.0,11.0,12.0,5.0,9.0,8.0,9.0,6.0,8.0,6.0,5.0,1.0,6.0,2022
Klay Thompson,,2024-25,,,,,56.0,48.33,,,,,,,,,,,,,,3.17,2.0,,,,,,,17.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
