PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Stephen Curry,By Year,2022-23,1610612744,GSW,2023-04-09T00:00:00,56,30,26,0.536,34.7,10.0,20.2,0.493,4.9,11.4,0.427,4.6,5.0,0.915,0.7,5.4,6.1,6.3,3.2,0.9,0.4,0.7,2.1,3.9,29.4,4.8,46.8,12,1,49.3,13,13,7,12,4,3,2,3,4,5,8,5,5,9,8,1,1,8,6,15,6,3,10,5,3,8,3,5,4,3
Stephen Curry,By Year,2021-22,1610612744,GSW,2022-03-16T00:00:00,64,45,19,0.703,34.5,8.4,19.1,0.437,4.5,11.7,0.38,4.3,4.7,0.923,0.5,4.7,5.2,6.3,3.2,1.3,0.4,0.6,2.0,3.5,25.5,8.0,43.1,12,2,44.8,11,6,9,6,5,8,6,15,6,4,15,6,6,5,14,3,5,7,4,11,5,9,12,10,7,6,9,5,2,6
Stephen Curry,By Year,2020-21,1610612744,GSW,2021-05-16T00:00:00,63,37,26,0.587,34.2,10.4,21.7,0.482,5.3,12.7,0.421,5.7,6.3,0.916,0.5,5.0,5.5,5.8,3.4,1.2,0.1,0.9,1.9,4.6,32.0,3.9,47.9,8,0,51.3,12,11,7,8,7,1,1,6,1,1,11,1,1,7,16,2,2,13,2,12,16,1,14,1,1,10,2,10,6,2
Stephen Curry,By Year,2019-20,1610612744,GSW,2020-03-05T00:00:00,5,1,4,0.2,27.9,6.6,16.4,0.402,2.4,9.8,0.245,5.2,5.2,1.0,0.8,4.4,5.2,6.6,3.2,1.0,0.4,0.8,2.2,3.8,20.8,-9.0,37.9,1,0,37.8,16,16,16,16,16,14,13,16,13,10,16,3,3,1,2,7,6,6,5,14,2,2,9,6,13,16,13,16,6,13
Draymond Green,By Year,2023-24,1610612744,GSW,2024-04-12T00:00:00,55,33,22,0.6,27.1,3.4,6.8,0.497,0.9,2.3,0.395,1.0,1.3,0.73,1.4,5.9,7.2,6.0,2.5,1.0,0.9,0.3,3.0,2.2,8.6,3.1,29.5,10,1,26.5,11,12,7,9,11,6,7,3,6,8,1,11,12,5,3,9,7,9,8,12,9,5,5,6,6,10,10,7,6,10
Draymond Green,By Year,2022-23,1610612744,GSW,2023-04-09T00:00:00,73,41,32,0.562,31.5,3.4,6.5,0.527,0.5,1.8,0.305,1.1,1.5,0.713,0.9,6.3,7.2,6.8,2.8,1.0,0.8,0.3,3.1,2.0,8.5,4.7,30.1,11,0,26.7,6,9,3,11,5,5,8,1,10,11,7,9,9,6,10,7,8,7,5,11,10,10,3,7,7,5,8,6,10,9
Draymond Green,By Year,2021-22,1610612744,GSW,2022-04-10T00:00:00,46,34,12,0.739,28.9,2.9,5.6,0.525,0.3,1.2,0.296,1.3,2.0,0.659,1.0,6.3,7.3,7.0,3.0,1.3,1.1,0.3,3.0,2.0,7.5,4.2,30.9,4,1,27.0,12,11,12,4,9,8,12,2,12,12,9,7,6,13,8,6,5,5,2,9,5,6,8,8,9,7,7,11,6,7
Draymond Green,By Year,2020-21,1610612744,GSW,2021-05-16T00:00:00,63,35,28,0.556,31.5,2.7,6.0,0.447,0.5,2.0,0.27,1.1,1.4,0.795,0.9,6.2,7.1,8.9,3.0,1.7,0.8,0.2,3.1,1.9,7.0,3.8,33.4,17,6,28.5,10,10,5,12,6,11,10,6,11,10,12,8,10,2,11,8,9,1,3,2,11,12,4,11,11,9,5,4,2,5
Draymond Green,By Year,2019-20,1610612744,GSW,2020-02-27T00:00:00,43,10,33,0.233,28.4,2.9,7.3,0.389,0.8,3.0,0.279,1.5,1.9,0.759,0.5,5.7,6.2,6.2,2.3,1.4,0.8,0.3,2.6,1.9,8.0,-4.5,28.9,8,2,25.5,13,13,2,13,10,9,6,12,7,6,11,6,7,4,13,10,10,8,10,7,12,9,12,9,8,13,11,8,5,11
Lebron James,By Year,2023-24,1610612747,LAL,2024-04-14T00:00:00,71,41,30,0.577,35.3,9.6,17.9,0.54,2.1,5.1,0.41,4.3,5.7,0.75,0.9,6.4,7.3,8.3,3.5,1.3,0.5,0.8,1.1,4.3,25.7,3.1,48.8,27,5,46.9,14,16,7,17,18,16,20,5,6,7,1,19,19,11,20,11,16,5,12,17,21,7,22,19,16,15,15,12,9,14
Lebron James,By Year,2022-23,1610612747,LAL,2023-04-09T00:00:00,55,30,25,0.545,35.5,11.1,22.2,0.5,2.2,6.9,0.321,4.6,5.9,0.768,1.2,7.1,8.3,6.8,3.2,0.9,0.6,0.9,1.6,5.0,28.9,3.9,50.3,18,2,49.2,20,19,11,18,17,3,2,14,4,2,18,16,17,4,10,4,4,15,19,22,17,6,16,17,5,13,13,18,17,8
Lebron James,By Year,2021-22,1610612747,LAL,2022-04-01T00:00:00,56,25,31,0.446,37.2,11.4,21.8,0.524,2.9,8.0,0.359,4.5,6.0,0.756,1.1,7.1,8.2,6.2,3.5,1.3,1.1,0.8,2.2,5.5,30.3,-2.1,53.0,21,6,52.3,19,22,5,21,13,1,4,7,1,1,9,17,16,7,11,5,5,20,10,16,3,10,4,13,2,22,6,16,8,3
Lebron James,By Year,2020-21,1610612747,LAL,2021-05-16T00:00:00,45,30,15,0.667,33.4,9.4,18.3,0.513,2.3,6.3,0.365,4.0,5.7,0.698,0.6,7.0,7.7,7.8,3.7,1.1,0.6,0.6,1.6,4.6,25.0,6.4,47.0,18,5,46.0,22,19,20,11,22,19,17,9,2,4,6,20,21,18,22,6,11,8,5,20,19,17,18,18,20,10,20,18,9,16
Lebron James,By Year,2019-20,1610612747,LAL,2020-08-13T00:00:00,67,50,17,0.746,34.6,9.6,19.4,0.493,2.2,6.3,0.348,3.9,5.7,0.693,1.0,6.9,7.8,10.2,3.9,1.2,0.5,0.9,1.8,5.1,25.3,6.6,51.3,46,13,49.0,17,8,17,4,21,17,10,15,3,3,12,21,20,20,17,7,9,1,4,19,20,5,11,16,17,8,11,2,2,10
